id,name,latitude,longitude,rating,price_level,googleMapsUri
ChIJJ9jR0KG3i18RLNdHWa5tiTk,The Hidden Japan Yamagata City Office,38.2505053,140.3362206,5.0,,https://maps.google.com/?cid=4145965527560869676&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJS7J0aeDMH2ARiKHAB-ITj4U,Ryokan Hinoemata,37.0216248,139.3866218,4.5,,https://maps.google.com/?cid=9623932790227640712&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJv8ex4vDPH2ARBFVY8KCkbI0,Maezawa L-Shaped Farmhouses,37.1022296,139.5196307,3.9,,https://maps.google.com/?cid=10190701067966633220&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJmfHj2JtxImARKs3vrFxQmVc,うなぎ やす川,35.9719379,140.1489498,4.1,PRICE_LEVEL_EXPENSIVE,https://maps.google.com/?cid=6312164711705070890&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJY7OFYEIkImARXkeMGnmtwfk,Kōbuntei,36.3741694,140.4525444,4.3,,https://maps.google.com/?cid=17996856321597261662&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJQURehB2LIWAR4fDmA-odfnY,Hitachi Seaside Park,36.405864,140.59648679999998,4.4,,https://maps.google.com/?cid=8538294834466058465&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJt43VZ0IkImARkblBKJUzdh0,Kairakuen,36.3754136,140.4538299,4.2,,https://maps.google.com/?cid=2122940990070307217&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ4-9ANlRuImARS4u9SEpdN8I,Ushiku Daibutsu,35.9826885,140.2202548,4.2,,https://maps.google.com/?cid=13994756940706450251&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJB7H6BdgFImAR06acxxXZ7g4,Tsukubasan Shrine,36.2137806,140.10132249999998,4.3,,https://maps.google.com/?cid=1076036048554600147&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJH1yPOxxtImAR1Ma25cBIoEI,Tsuchiura City Kasumigaura Comprehensive Park,36.0633982,140.22006389999999,4.1,,https://maps.google.com/?cid=4800917196101830356&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
